Region,Year,Both,Male,Female
Americas,2007,81.4,76.8 [ 75.2-77.6],86.2 [ 85.2-86.8]
Americas,2006,81.5,77.0 [ 75.4-77.7],86.2 [ 85.2-86.8]
Americas,2005,81.6,77.2 [ 75.5-77.9],86.2 [ 85.2-86.8]
Americas,2004,81.7,77.4 [ 75.6-78.1],86.2 [ 85.1-86.9]
Americas,2003,81.8,77.6 [ 75.7-78.3],86.2 [ 85.1-86.9]
Americas,2002,81.9,77.8 [ 75.9-78.5],86.2 [ 85.1-86.9]
Americas,2001,82,78.0 [ 76.0-78.8],86.2 [ 85.0-87.0]
South-East Asia,2016,75.6,73.4 [ 71.3-83.0],78.0 [ 75.5-87.2]
South-East Asia,2015,75.8,73.7 [ 71.5-83.1],78.1 [ 75.5-87.1]
South-East Asia,2014,75.9,74.0 [ 71.8-83.1],78.1 [ 75.6-87.1]
South-East Asia,2013,76.1,74.3 [ 72.0-83.1],78.1 [ 75.7-87.0]
South-East Asia,2012,76.3,74.6 [ 72.4-83.2],78.1 [ 75.7-87.0]
South-East Asia,2011,76.4,74.8 [ 72.6-83.2],78.1 [ 75.8-87.0]
South-East Asia,2010,76.6,75.1 [ 72.7-83.3],78.1 [ 75.8-87.0]
South-East Asia,2009,76.7,75.4 [ 72.9-83.3],78.2 [ 75.9-87.0]
South-East Asia,2008,76.9,75.7 [ 73.1-83.3],78.2 [ 75.9-86.9]
South-East Asia,2007,77.1,76.0 [ 73.4-83.4],78.2 [ 75.9-86.9]
South-East Asia,2006,77.3,76.3 [ 73.6-83.4],78.3 [ 75.9-86.9]
South-East Asia,2005,77.4,76.6 [ 73.8-83.5],78.3 [ 75.9-86.9]
South-East Asia,2004,77.6,76.9 [ 73.9-83.6],78.3 [ 75.9-86.9]
South-East Asia,2003,77.7,77.2 [ 74.0-83.6],78.4 [ 75.9-86.9]
South-East Asia,2002,77.9,77.5 [ 74.2-83.6],78.4 [ 75.8-86.9]
South-East Asia,2001,78.1,77.8 [ 74.3-83.7],78.4 [ 75.8-86.8]
Europe,2016,82.1,77.5 [ 76.6-78.1],87.0 [ 86.4-87.5]
Europe,2015,82.1,77.5 [ 76.6-78.1],86.9 [ 86.4-87.4]
Europe,2014,82.1,77.5 [ 76.7-78.1],86.9 [ 86.4-87.4]
Europe,2013,82.1,77.6 [ 76.8-78.0],86.9 [ 86.4-87.3]
Europe,2012,82.1,77.6 [ 76.8-78.0],86.8 [ 86.4-87.3]
Europe,2011,82.1,77.6 [ 76.9-78.0],86.8 [ 86.4-87.2]
Europe,2010,82.1,77.6 [ 77.0-78.0],86.8 [ 86.4-87.1]
Europe,2009,82.1,77.6 [ 77.0-78.0],86.7 [ 86.3-87.1]
Europe,2008,82.1,77.7 [ 77.1-78.0],86.7 [ 86.3-87.1]
Europe,2007,82.1,77.7 [ 77.1-78.0],86.7 [ 86.3-87.1]
Europe,2006,82.1,77.7 [ 77.1-78.1],86.7 [ 86.2-87.1]
Europe,2005,82.1,77.7 [ 77.1-78.2],86.6 [ 86.2-87.1]
Europe,2004,82.1,77.7 [ 77.2-78.2],86.6 [ 86.2-87.1]
Europe,2003,82.1,77.8 [ 77.1-78.3],86.6 [ 86.1-87.1]
Europe,2002,82.1,77.8 [ 77.1-78.4],86.6 [ 86.1-87.1]
Europe,2001,82.1,77.8 [ 77.1-78.4],86.6 [ 86.0-87.1]
Eastern Mediterranean,2016,87,84.3 [ 82.2-85.1],89.9 [ 88.8-91.1]
Eastern Mediterranean,2015,87,84.3 [ 82.2-85.0],89.8 [ 88.8-91.0]
Eastern Mediterranean,2014,86.9,84.2 [ 82.2-85.0],89.8 [ 88.8-91.0]
Eastern Mediterranean,2013,86.9,84.1 [ 82.2-85.0],89.7 [ 88.7-90.9]
Eastern Mediterranean,2012,86.8,84.1 [ 82.1-84.9],89.7 [ 88.7-90.9]
Eastern Mediterranean,2011,86.8,84.0 [ 82.1-84.8],89.7 [ 88.7-90.9]
Eastern Mediterranean,2010,86.7,83.9 [ 82.2-84.9],89.6 [ 88.7-90.9]
Eastern Mediterranean,2009,86.7,83.8 [ 82.2-84.9],89.6 [ 88.6-90.8]
Eastern Mediterranean,2008,86.6,83.8 [ 82.1-84.9],89.6 [ 88.6-90.8]
Eastern Mediterranean,2007,86.5,83.7 [ 82.1-84.9],89.6 [ 88.5-90.8]
Eastern Mediterranean,2006,86.5,83.6 [ 82.1-84.9],89.5 [ 88.4-90.8]
Eastern Mediterranean,2005,86.4,83.5 [ 82.1-84.9],89.5 [ 88.3-90.9]
Eastern Mediterranean,2004,86.4,83.4 [ 82.0-84.8],89.5 [ 88.3-90.9]
Eastern Mediterranean,2003,86.3,83.4 [ 82.0-84.8],89.5 [ 88.2-90.9]
Eastern Mediterranean,2002,86.3,83.3 [ 81.9-84.9],89.5 [ 88.1-90.9]
Eastern Mediterranean,2001,86.2,83.2 [ 81.8-84.9],89.4 [ 88.0-90.9]
Western Pacific,2016,85.8,82.0 [ 81.2-89.0],90.1 [ 89.4-93.4]
Western Pacific,2015,85.8,82.1 [ 81.3-89.0],90.1 [ 89.4-93.4]
Western Pacific,2014,85.9,82.2 [ 81.5-89.0],90.0 [ 89.4-93.4]
Western Pacific,2013,85.9,82.3 [ 81.6-88.9],90.0 [ 89.4-93.4]
Western Pacific,2012,85.9,82.3 [ 81.6-88.8],90.0 [ 89.3-93.4]
Western Pacific,2011,86,82.4 [ 81.7-88.7],89.9 [ 89.3-93.4]
Western Pacific,2010,86,82.4 [ 81.7-88.6],89.9 [ 89.2-93.4]
Western Pacific,2009,85.9,82.5 [ 81.7-88.5],89.8 [ 89.1-93.3]
Western Pacific,2008,85.9,82.5 [ 81.8-88.3],89.7 [ 89.1-93.2]
Western Pacific,2007,85.9,82.5 [ 81.8-88.2],89.6 [ 89.0-93.2]
Western Pacific,2006,85.9,82.6 [ 81.8-88.2],89.6 [ 88.9-93.2]
Western Pacific,2005,85.9,82.7 [ 81.8-88.2],89.5 [ 88.9-93.2]
Western Pacific,2004,86,82.7 [ 81.9-88.1],89.4 [ 88.8-93.2]
Western Pacific,2003,86,82.8 [ 81.9-88.0],89.4 [ 88.7-93.2]
Western Pacific,2002,86,82.9 [ 82.0-87.9],89.4 [ 88.7-93.2]
Western Pacific,2001,86.1,83.0 [ 82.0-87.9],89.3 [ 88.6-93.2]
